model_name,table_name,column_name,data_type,row_count,non_null_count,populated_pct,distinct_count,quality_flag,sample_values,suggestion
cancer_model,raw_cancer_patients,patient_sk,string,180,180,100.0,180,GREEN,PT000005; PT000094; PT000023; PT000036; PT000148,
cancer_model,raw_cancer_patients,pseudo_nhs_id,string,180,180,100.0,180,GREEN,ANON23470708; ANON42787299; ANON90801586; ANON47437115; ANON51551377,
cancer_model,raw_cancer_patients,sex,string,180,180,100.0,3,GREEN,F; M; X,
cancer_model,raw_cancer_patients,year_of_birth,int,180,180,100.0,66,GREEN,1953; 1957; 1987; 1956; 1936,
cancer_model,raw_cancer_patients,ethnicity_group,string,180,180,100.0,6,GREEN,mixed; unknown; asian; other; white,
cancer_model,raw_cancer_patients,postcode_lsoa,string,180,180,100.0,180,GREEN,LSOA22987; LSOA50001; LSOA95841; LSOA96646; LSOA54424,
cancer_model,raw_cancer_patients,smoking_status,string,180,180,100.0,4,GREEN,unknown; former; current; never,
cancer_model,raw_cancer_patients,bmi,double,180,180,100.0,119,GREEN,36.1; 26.7; 22.4; 19.3; 32.7,
cancer_model,raw_cancer_patients,charlson_index,int,180,180,100.0,10,GREEN,7; 3; 8; 0; 5,
cancer_model,raw_cancer_patients,registration_date,string,180,180,100.0,178,GREEN,2024-08-06; 2020-06-22; 2021-11-15; 2019-01-24; 2018-10-10,
cancer_model,raw_cancer_patients,death_date,string,180,30,16.67,31,RED,2025-12-07; 2022-09-07; 2024-12-28; 2025-01-01; 2022-06-25,Low population. Verify data pipeline or consider excluding.
cancer_model,raw_cancer_patients,is_deceased,int,180,180,100.0,2,GREEN,0; 1,
cancer_model,raw_cancer_patients,load_ts,string,180,180,100.0,1,GREEN,2026-03-17T12:44:31,
cancer_model,raw_cancer_diagnoses,diagnosis_sk,string,216,216,100.0,216,GREEN,DX0000164; DX0000067; DX0000127; DX0000159; DX0000084,
cancer_model,raw_cancer_diagnoses,patient_sk,string,216,216,100.0,125,GREEN,PT000094; PT000148; PT000036; PT000166; PT000030,
cancer_model,raw_cancer_diagnoses,diagnosis_date,string,216,216,100.0,200,GREEN,2024-04-03; 2023-07-21; 2023-09-08; 2022-03-21; 2024-02-20,
cancer_model,raw_cancer_diagnoses,cancer_site,string,216,216,100.0,6,GREEN,haematology; breast; colorectal; ovarian; lung,
cancer_model,raw_cancer_diagnoses,icd10_code,string,216,216,100.0,6,GREEN,C18; C50; C34; C56; C91,
cancer_model,raw_cancer_diagnoses,stage_group,string,216,216,100.0,5,GREEN,unknown; III; IV; II; I,
cancer_model,raw_cancer_diagnoses,morphology_code,string,216,216,100.0,195,GREEN,M8754; M8030; M8527; M8083; M8942,
cancer_model,raw_cancer_diagnoses,tnm_t,string,216,216,100.0,4,GREEN,T3; T1; T2; T4,
cancer_model,raw_cancer_diagnoses,tnm_n,string,216,216,100.0,4,GREEN,N3; N0; N2; N1,
cancer_model,raw_cancer_diagnoses,tnm_m,string,216,216,100.0,2,GREEN,M1; M0,
cancer_model,raw_cancer_diagnoses,metastatic_flag,int,216,216,100.0,2,GREEN,0; 1,
cancer_model,raw_cancer_diagnoses,mdt_pathway,string,216,216,100.0,3,GREEN,standard; rapid; urgent,
cancer_model,raw_cancer_diagnoses,load_ts,string,216,216,100.0,1,GREEN,2026-03-17T12:44:31,
cancer_model,raw_cancer_treatments,treatment_sk,string,288,288,100.0,288,GREEN,TX0000267; TX0000071; TX0000125; TX0000283; TX0000251,
cancer_model,raw_cancer_treatments,patient_sk,string,288,288,100.0,134,GREEN,PT000005; PT000094; PT000036; PT000023; PT000148,
cancer_model,raw_cancer_treatments,treatment_start_date,string,288,288,100.0,255,GREEN,2026-02-01; 2024-10-22; 2023-06-07; 2023-10-26; 2025-12-07,
cancer_model,raw_cancer_treatments,treatment_modality,string,288,288,100.0,5,GREEN,chemotherapy; radiotherapy; hormonal; surgery; immunotherapy,
cancer_model,raw_cancer_treatments,regimen_code,string,288,288,100.0,5,GREEN,CARBO-TAXOL; PEMBRO; LETRO; FOLFOX; R-CHOP,
cancer_model,raw_cancer_treatments,cycle_number,int,288,288,100.0,8,GREEN,7; 3; 8; 5; 6,
cancer_model,raw_cancer_treatments,dose_mg,double,288,272,94.44,272,GREEN,179.48; 94.99; 155.29; 176.58; 321.76,
cancer_model,raw_cancer_treatments,intent,string,288,288,100.0,4,GREEN,adjuvant; neoadjuvant; curative; palliative,
cancer_model,raw_cancer_treatments,treatment_response,string,288,288,100.0,5,GREEN,unknown; partial; stable; progressive; complete,
cancer_model,raw_cancer_treatments,toxicity_grade,int,288,288,100.0,5,GREEN,3; 0; 1; 4; 2,
cancer_model,raw_cancer_treatments,load_ts,string,288,288,100.0,1,GREEN,2026-03-17T12:44:31,
cancer_model,raw_cancer_outcomes,outcome_sk,string,162,162,100.0,162,GREEN,OC0000003; OC0000044; OC0000154; OC0000103; OC0000035,
cancer_model,raw_cancer_outcomes,patient_sk,string,162,162,100.0,104,GREEN,PT000094; PT000023; PT000148; PT000030; PT000065,
cancer_model,raw_cancer_outcomes,outcome_date,string,162,162,100.0,143,GREEN,2024-10-24; 2024-10-22; 2024-04-03; 2025-08-17; 2025-01-03,
cancer_model,raw_cancer_outcomes,overall_survival_days,int,162,162,100.0,150,GREEN,747; 544; 1304; 862; 1412,
cancer_model,raw_cancer_outcomes,progression_free_survival_days,int,162,162,100.0,148,GREEN,307; 613; 272; 448; 232,
cancer_model,raw_cancer_outcomes,recurrence_flag,int,162,162,100.0,2,GREEN,0; 1,
cancer_model,raw_cancer_outcomes,mortality_90d_flag,int,162,162,100.0,2,GREEN,0; 1,
cancer_model,raw_cancer_outcomes,emergency_admission_90d_flag,int,162,162,100.0,2,GREEN,0; 1,
cancer_model,raw_cancer_outcomes,proms_score,double,162,162,100.0,142,GREEN,78.9; 49.1; 84.7; 84.0; 40.1,
cancer_model,raw_cancer_outcomes,load_ts,string,162,162,100.0,1,GREEN,2026-03-17T12:44:31,
cancer_model,raw_lab_results,lab_result_sk,string,630,630,100.0,630,GREEN,LB00000202; LB00000288; LB00000435; LB00000485; LB00000017,
cancer_model,raw_lab_results,patient_sk,string,630,630,100.0,178,GREEN,PT000005; PT000094; PT000148; PT000023; PT000036,
cancer_model,raw_lab_results,sample_date,string,630,630,100.0,491,GREEN,2024-10-24; 2024-01-19; 2024-07-14; 2023-05-18; 2025-06-03,
cancer_model,raw_lab_results,test_name,string,630,630,100.0,5,GREEN,haemoglobin; platelets; albumin; creatinine; white_cell_count,
cancer_model,raw_lab_results,result_value,double,630,610,96.83,598,GREEN,184.13; 13.87; 65.52; 169.04; 466.84,
cancer_model,raw_lab_results,unit,string,630,630,100.0,3,GREEN,10^9/L; umol/L; g/L,
