request_id,data_point_name,domain,table_name,column_name,data_type,row_count,non_null_count,populated_pct,distinct_count,metadata_match_score,feasibility_score,rag_score,recommendation
CDP034,overall_survival_days,outcomes,cerner_raw__cancer_diagnoses,overall_survival_days,INTEGER,1000,1000,100.0,818,3.0,0.8633,GREEN,Feasible candidate. Prioritize in downstream extraction.
CDP004,smoking_status,demographics,cerner_raw__cancer_diagnoses,smoking_status,TEXT,1000,1000,100.0,3,3.0,0.7635,GREEN,Feasible candidate. Prioritize in downstream extraction.
CDP027,best_treatment_response,treatment,cerner_raw__cancer_diagnoses,treatment_response,TEXT,1000,1000,100.0,4,0.878,0.529,AMBER,Potentially feasible. Validate business rules and completeness.
CDP001,age_at_diagnosis,demographics,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP002,sex,demographics,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP003,ethnicity_group,demographics,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP005,bmi_at_baseline,demographics,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP006,charlson_index,comorbidity,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP007,imd_quintile,demographics,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP008,registration_date,administrative,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP009,is_deceased,demographics,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP010,death_date,demographics,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP011,primary_cancer_site,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP012,primary_icd10_code,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP013,diagnosis_date,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP014,stage_group_at_diagnosis,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP015,morphology_code,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP016,tnm_t,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP017,tnm_n,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP018,tnm_m,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP019,metastatic_flag,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP020,mdt_pathway,diagnosis,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP021,first_treatment_start_date,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
CDP022,treatment_modality,treatment,-,-,-,0,0,0.0,0,0.0,0.0,RED,No matching columns in schema.
